title,artist,genres,popularity,danceability,energy,tempo,valence,instrumentalness,acousticness,track_id,artist_id,Primary genre,final genre
Haunted - Instrumental,Dojo Cuts,bboy,31,0.743,0.476,82.992,0.349,0.933,0.812,1aJJkw3hPHNWpC4wwVrWlb,0Vd8YQz8TYk2vSKEYVvIgL,bboy,Other
Rock a Nore,Palm Skin Productions,unknown,28,0.566,0.387,82.001,0.281,0.83,0.455,1ZjQEyOASgLvPNL7szbHzU,36fOUxKPHF3Hi5SsB1T1lY,unknown,Other
Mississippi Goddam,Andra Day,r&b,30,0.816,0.571,85.025,0.386,0.00443,0.282,7DIxVMCTh1RGD4pVRshvnt,1c4rxrxy8eDLvMVL1DTiBe,r&b,R&B
Baby Teeth,Girlhood,british soul,0,0.545,0.936,89.438,0.509,0.000367,0.216,5tOG1r4LehagewzOCEBOfb,1zmozsuAfLwrawutG7x9VA,british soul,R&B
Sunrise,Latanya Alberto,dutch r&b; indie r&b,29,0.793,0.522,137.008,0.512,0.079,0.208,76VbFUE4gxXiaMd1uWwJCv,2gOETMfjAos2JU0cxHp357,dutch r&b,Other
Shaquille Sama,QUANZA,unknown,28,0.569,0.24,90.49,0.178,0.501,0.764,5lBSxxvADqvpKTvbCi8ETo,7hs8g3jBavjFRILV4XJlTy,unknown,Other
"Paris, Texas",Rosie Lowe,uk contemporary r&b,39,0.632,0.295,131.638,0.3,0.0421,0.851,4HNeLKW804ajGc5h41GtHE,3xGUleMP0VqmYNXcGBNhnI,uk contemporary r&b,Other
My Home,Noa Lauryn,unknown,40,0.597,0.398,91.087,0.254,0.0644,0.798,5IBOIoEsmORmCHhHUJa5qr,6bukZqzHUL1BdEXfa1wLz9,unknown,Other
Moonlight,Jarreau Vandal,dutch r&b; indie soul; neo r&b,38,0.709,0.611,85.611,0.201,0.000158,0.811,3vuAHs82oPXgDYdQIDEciw,6f96znq79wvlknKHHHhtTW,dutch r&b,Other
ADULTHOOD,Jon Batiste,new orleans jazz,39,0.85,0.322,86.006,0.576,0.6,0.0853,4FblU56VwlVyJuvq4H6GRv,0eRbECAGCLLiTyVXPBRexU,new orleans jazz,Other
Love Is Back,Celeste,british soul,46,0.678,0.654,97.856,0.585,1.44e-05,0.256,2xAffWASC4yddor8wW037Z,49HlOY4gkHqsYG9GCuhkcc,british soul,R&B
Everybody Love,Robert Glasper,contemporary jazz; indie jazz; indie soul; jazz; modern jazz piano; neo r&b; neo soul,0,0.566,0.441,105.389,0.61,0.000313,0.49,6iVl0KVT87kMRqYxAMstSN,5cM1PvItlR21WUyBnsdMcn,contemporary jazz,Jazz
December,Neck Deep,pop punk; uk pop punk,66,0.542,0.439,144.949,0.466,0.0,0.626,4oVdhvxZrKQTM9ZsUIZa3S,2TM0qnbJH4QPhGMCdPt7fH,pop punk,Other
My December,Linkin Park,alternative metal; nu metal; post-grunge; rap metal; rock,59,0.73,0.585,100.021,0.721,0.0101,0.375,0fxGA5lxrdYNYoE7yJxTNZ,6XyY86QOPPrYVGvF9ch6wz,alternative metal,Rock
Christmas Canon,Trans-Siberian Orchestra,neo classical metal; progressive metal,53,0.286,0.362,132.842,0.148,0.445,0.78,0O4vuJynWVVdyvoHvZtnk3,5OSQDUNmll299ldFIF1Dau,neo classical metal,Other
Deadbeat Holiday,Green Day,modern rock; permanent wave; punk; rock,39,0.529,0.93,82.42,0.505,0.0,0.00238,02COSjkOwyoMNW30Tge9Gu,7oPftvlwr6VrsViSDV7fJY,modern rock,Rock
I Won't Be Home For Christmas,blink-182,alternative metal; modern rock; pop punk; punk; rock; socal pop punk,38,0.347,0.942,200.023,0.661,0.0,0.00196,41olw7iIGVyds8dnSR9pb0,6FBDaR13swtiWwGhX1WQsP,alternative metal,Rock
All I Want for Christmas Is You - 2005,My Chemical Romance,emo; modern rock; pop punk; pov: indie; rock,37,0.256,0.788,163.748,0.3,0.0,0.0519,5b3JH0PESwZeVr5TdUtHgy,7FBcuc1gsnv6Y1nwFtNRCb,emo,Alternative/Indie
sympathy 4 the grinch,100 gecs,bubblegum bass; hyper-rock; hyperpop; proto-hyperpop,37,0.547,0.899,176.021,0.892,0.0,0.0116,0jmJyRvB77PRLX8pfNQbBB,6PfSUFtkMVoDkx4MQkzOi3,bubblegum bass,Other
Christmas Every Day,Simple Plan,canadian pop punk; canadian punk; canadian rock; modern rock; neon pop punk; pop punk; pop rock,29,0.305,0.939,186.055,0.495,0.0,0.0117,1VFXTsoR3uHlu9tBAAlElO,2p4FqHnazRucYQHyDCdBrJ,canadian pop punk,Other
His Favorite Christmas Story,Capital Lights,christian alternative rock; christian punk,28,0.675,0.631,139.987,0.676,0.0,0.0528,0zrbISwByqUAWssIhgQwQr,0xhIBddw7R69CWKsCt2gVt,christian alternative rock,Other
White Christmas,Bad Religion,punk; skate punk; socal pop punk,27,0.428,0.952,166.006,0.915,0.000198,0.00177,1Hal68E1MbcY7GPcsQbqVm,2yJwXpWAQOOl5XFzbCxLs9,punk,Other
O Come All Ye Faithful,Weezer,alternative rock; modern power pop; modern rock; permanent wave; rock,26,0.515,0.82,121.919,0.751,0.0,0.00701,7dM5NHRKrNUCDJQbn9KsGS,3jOstUTkEu2JkjvRdBA5Gu,alternative rock,Rock
"Merry Spidey Christmas - From ""Disney Junior Music: Marvel's Spidey and His Amazing Friends""",Patrick Stump,unknown,26,0.436,0.915,89.952,0.713,0.0,0.0245,4sxckNpmfC1Y1j91zn1BCh,0wsdUS0EJ7zHgti2nxTVWR,unknown,Other
Christmas (Baby Please Come Home),The Offspring,alternative metal; permanent wave; post-grunge; punk; rock; skate punk; socal pop punk,25,0.437,0.878,128.043,0.623,0.0,0.0112,3FaUJo1nrRUm51tc4nldkg,5LfGQac0EIXyAN8aUwmNAQ,alternative metal,Rock
Not Another Christmas Song,blink-182,alternative metal; modern rock; pop punk; punk; rock; socal pop punk,32,0.538,0.903,155.096,0.78,0.0,0.0082,22HLihdOv820hEmSRJeHUf,6FBDaR13swtiWwGhX1WQsP,alternative metal,Rock
I'm With You,Mayday Parade,neon pop punk; pop emo; pop punk,25,0.326,0.74,174.843,0.355,0.0,0.00476,4UZLSMZqP8yps8RPpd1zwR,3WfJ1OtrWI7RViX9DMyEGy,neon pop punk,Other
The Season's Upon Us,Dropkick Murphys,boston punk; boston rock; celtic punk; celtic rock; punk,24,0.466,0.767,87.03,0.393,0.0,0.0133,1gSmN84niQf7DZSCCWfOyN,7w9jdhcgHNdiPeNPUoFSlx,boston punk,Other
"Happy Holidays, You Bastard",jxdn,pop punk; social media pop,24,0.509,0.906,171.706,0.965,0.0,0.000649,1JRIspKuyC14rGixc81hEa,6Y64EaNqpqcZYTgs4c76gF,pop punk,Other
Hark! The Herald Angels Sing,Weezer,alternative rock; modern power pop; modern rock; permanent wave; rock,23,0.515,0.843,125.991,0.836,0.0,0.000764,6myYlIrIBlKhGxYpRwfh03,3jOstUTkEu2JkjvRdBA5Gu,alternative rock,Rock
Christmas Song,Escape the Fate,alternative metal; metalcore; neon pop punk; pixie; pop punk; post-grunge; screamo,23,0.435,0.946,169.968,0.453,0.0,7.91e-05,5zQHYpjKOHlo86BVVh2jym,5ojhEavq6altxW8fWIlLum,alternative metal,Rock
God Rest Ye Merry Gentlemen,Bad Religion,punk; skate punk; socal pop punk,25,0.54,0.964,119.928,0.816,0.0,0.00352,1dlO7CncE79hCspdTO99Fz,2yJwXpWAQOOl5XFzbCxLs9,punk,Other
Feliz Navidad,El Vez,unknown,22,0.318,0.917,169.414,0.64,0.000554,0.00188,79HjzWum0xKMnUSZvytgmM,6AWwTgQn3JoqkdTnL9eDob,unknown,Other
All I Want For Christmas Is You,Point North,pop punk,21,0.52,0.869,75.008,0.415,0.0,0.000461,05w2HWpvqEmyDk882QRYpp,5Vp7LqcfAtx2U1RfIX8i7r,pop punk,Other
Is This Christmas? - Radio Edit,The Wombats,liverpool indie; modern alternative rock; modern rock,21,0.308,0.887,159.853,0.457,0.0,0.00367,5gWJr20lfpkdmUh9wo7V1W,0Ya43ZKWHTKkAbkoJJkwIB,liverpool indie,Other
Christmas Vacation,Descendents,hardcore punk; punk; skate punk,21,0.329,0.749,184.618,0.457,3.58e-05,0.0129,2adeKu82XJFCPInfady2Gt,1FGH4Bh7g9W6V4fUcKZWp5,hardcore punk,Other
Jack Skellington,The Jins,unknown,21,0.333,0.942,154.011,0.405,0.0429,1.67e-05,3n6jtHaCd5Jf06akv6B8Ue,5WvFLGeK0O8imCwfQF1j3b,unknown,Other
Groovy Xmas,The Linda Lindas,riot grrrl,20,0.393,0.74,174.69,0.695,1.6e-06,1.69e-05,0i1eZMzUmrYHOqRroYacfx,13dTrWNNrnZ3AkgNyQNKP5,riot grrrl,Other
Lieder und Lametta,Deine Cousine,unknown,19,0.469,0.948,179.888,0.774,2.27e-06,0.00933,46KSW1QTjZ0d6MuaRqduti,579hwkWz1UQx97t0tzYv1Y,unknown,Other
Santa Baby,Me First and the Gimme Gimmes,punk; ska; ska punk; skate punk,19,0.315,0.739,106.928,0.433,0.0,0.0039,2wPMolA9qDw7RvUUy56sx1,0cOVRC8EOwDwXrs3JTrRN5,punk,Other
"O Come, O Come Emmanuel",Bad Religion,punk; skate punk; socal pop punk,25,0.337,0.978,181.948,0.698,0.000143,0.000192,16qtpiIyiTmsN2Dnl5ZPj9,2yJwXpWAQOOl5XFzbCxLs9,punk,Other
Santa Tell Me,Alex Melton,punk cover,13,0.488,0.872,102.046,0.612,1.51e-06,0.0042,6Tp2Zx60aXtyyZ2ahqQ1oO,2Y3LFSXIRTjJZyjIA22qJA,punk cover,Other
Somewhere in My Memory,Four Year Strong,anthem emo; easycore; neon pop punk; new england emo; pop punk; screamo; worcester ma indie,18,0.376,0.55,83.979,0.256,0.00382,0.596,0w06ax9ZDaTbFFmD2wOCnu,0qqxspZOkbN00bu6DaRIrn,anthem emo,Other
Winter Wonderland,Plain White T's,modern rock; neo mellow; neon pop punk; pop punk; pop rock,18,0.605,0.757,131.995,0.64,0.0,0.0248,1p95JMdRImM00RePtDOqMS,1g1yxsNVPhMUl9GrMjEb2o,modern rock,Rock
Things I Want,Tenacious D,alternative metal; comedy rock; comic; comic metal; parody,18,0.412,0.974,167.7,0.272,8.68e-05,0.00133,7gfa6TiFiesmwQjUbIzv8c,1XpDYCrUJnvCo9Ez6yeMWh,alternative metal,Rock
Rudolph The Red-Nosed Reindeer,Goldfinger,pop punk; punk; ska; skate punk; socal pop punk,18,0.521,0.936,104.904,0.423,0.0,0.000472,2Symnv19lk0n4TsYRzM6O4,7sVQKNtdP2NylxMgbNOJMM,pop punk,Other
Christmas Day,MxPx,christian punk; pop punk; punk; ska; ska punk; skate punk,16,0.361,0.985,103.029,0.824,0.0318,0.00097,52fJLPcouUhbUYY8YPjPMg,1cSpfa4Un4NCOzeOKgGtG9,christian punk,Other
December's Here,New Found Glory,easycore; neon pop punk; pop punk,16,0.597,0.734,132.995,0.831,0.0,0.00632,0CdxsUc8w4yjuMLD0hB4BC,4ghjRm4M2vChDfTUycx0Ce,easycore,Other
Hava Nagila,Me First and the Gimme Gimmes,punk; ska; ska punk; skate punk,19,0.547,0.509,130.7,0.485,0.0,0.0914,7ybZEUwDsHGMkWGoNSgmCg,0cOVRC8EOwDwXrs3JTrRN5,punk,Other
This Time of Year,The Mighty Mighty Bosstones,boston punk; boston rock; punk; ska; ska punk; skate punk,16,0.497,0.916,179.372,0.741,3.1e-06,0.0262,6dx7fWgnbnYYP1mGMzORwm,5uYXMC13cIUulobh204QuK,boston punk,Other
Little Drummer Boy,The Almost,christian alternative rock; neon pop punk; screamo,16,0.654,0.708,164.057,0.463,0.000201,0.0248,22rBktERctuWCLmnV51Td5,5X09SRt3qx77eh0XRreLjr,christian alternative rock,Other
New Year's Revolution,NOFX,punk; skate punk; socal pop punk,16,0.448,0.843,129.801,0.287,7.26e-06,0.00112,55traEc0RnXsRFajtZZMDd,4S2yOnmsWW97dT87yVoaSZ,punk,Other
It's Christmas And I Fucking Miss You,Charly Bliss,bubblegrunge; indie punk; modern power pop,16,0.4,0.793,89.942,0.465,0.0,0.000608,2FZmLofghTBI3Gq6HhOxuz,7axA2bNeZsae6t2mgxoSFh,bubblegrunge,Other
Decemberism,Man Overboard,alternative emo; anthem emo; easycore; emo; neon pop punk; pop punk,15,0.548,0.577,151.962,0.305,0.0,0.564,2vgsDqkE5dyAveetWyhVHk,7oT6vt8H3q7kA24sicjFzO,alternative emo,Other
Christmas Shoes,FM Static,canadian ccm; canadian pop punk; christian punk,15,0.475,0.861,164.937,0.436,0.0,0.00203,1jdO5CFR3dhv3OKoALywkl,043r4OwwUAYREkBLK5jAiV,canadian ccm,Gospel
It's Beginning to Look a Lot Like Shitmas,Kamakazi,quebec punk,14,0.488,0.975,150.007,0.966,4.14e-05,0.000276,19eHS0T2UnD8ArOUwMKN4d,1W2uHVFphPSyLk7zuL5Y8J,quebec punk,Other
Merry Christmas (I Don't Wanna Fight Tonight) - 1999 Remaster,Ramones,alternative rock; early us punk; permanent wave; punk; rock,12,0.531,0.928,152.032,0.641,0.0,0.188,2T3tEaSThdC9J9mnvxJWoZ,1co4F2pPNH8JjTutZkmgSm,alternative rock,Rock
X'Mas Time (It Sure Doesn't Feel Like It),The Mighty Mighty Bosstones,boston punk; boston rock; punk; ska; ska punk; skate punk,12,0.47,0.666,125.518,0.374,0.0,0.0427,30HWEKPozyqnJ8ARfVnoT2,5uYXMC13cIUulobh204QuK,boston punk,Other
I'm Going Surfing for Xmas,Mad Caddies,ska; ska punk; skate punk,12,0.707,0.69,90.017,0.949,0.0,0.376,4Rfapwi4NNQjw2PJO7WTmo,0cmBbO2sr4w0rRGt3rKvs6,ska,Reggae
Holiday Records,New Found Glory,easycore; neon pop punk; pop punk,11,0.307,0.948,164.674,0.894,0.0,0.00647,0oHWViVcaumnleLFUxDf4Q,4ghjRm4M2vChDfTUycx0Ce,easycore,Other
Alone This Holiday,The Used,alternative metal; neon pop punk; pop emo; post-grunge; post-hardcore; screamo,11,0.257,0.808,175.89,0.125,0.0,0.00333,1sGUHJWLPeZV7XpylIAMnM,55VydwMyCuGcavwPuhutPL,alternative metal,Rock
Silent Night,Masked Intruder,orgcore; power-pop punk; ramonescore; skate punk,11,0.51,0.8,110.949,0.178,1.79e-06,0.0048,6gnNYcp6JfcOmX7itB8Mqy,4qUFkkArfii3qNG8TnbPfc,orgcore,Other
Jingle Bells - Punk Rock Version,William Shatner,comic; outsider,10,0.462,0.896,139.969,0.587,0.0,0.0165,7BbKJ8uPUCMnFr5bdskJyO,2dPqql8xbby3nWuf98mAza,comic,Other
Please Come Home for Christmas,Unwritten Law,skate punk,10,0.304,0.943,121.912,0.405,0.0,0.0614,2S8rCnJHO2Gbj6648CrDyf,30h6MvMZfHQ8yzYCbfHMMT,skate punk,Other
Xmas Exile,Settle Your Scores,anthem emo; cincinnati indie; easycore; pop punk,10,0.49,0.977,139.991,0.426,5.18e-05,0.000569,6el5Au3KpVNLGItG2gFCMA,4QXKSmZgWNMDbQBidvuh4O,anthem emo,Other
Lonely This Christmas,Traitors!,unknown,10,0.398,0.878,190.086,0.499,0.0,7.39e-05,2Wln4Uit6bhUFT80kFmvFU,5bZenVzKn4ZXbPWRNL7YAy,unknown,Other
Merry Flippin' Christmas (Happy Freakin' New Year),Bowling For Soup,neon pop punk; pop punk; pop rock; texas pop punk,10,0.48,0.907,111.961,0.603,0.0,0.000181,5vcL0Ml7xEiZysuAMmK4zF,5ND0mGcL9SKSjWIjPd0xIb,neon pop punk,Other
Santa Claus Is Coming to Town - Single Version,A Rocket To The Moon,neon pop punk; pixie,9,0.492,0.891,175.072,0.718,0.0,0.0437,76FkKWaIxsOMzP15ACZLvt,1NU9Em6e8dDo36Js6nEo3t,neon pop punk,Other
Under the Mistletoe,Masked Intruder,orgcore; power-pop punk; ramonescore; skate punk,10,0.417,0.828,155.855,0.723,3.1e-05,0.00766,6gFVxwYlHoyb92OrMnNmcR,4qUFkkArfii3qNG8TnbPfc,orgcore,Other
Black Christmas,Poly Styrene,unknown,9,0.579,0.808,136.038,0.597,0.337,0.00022,4KBMP1TjinUxc6HAZZU51L,13atKTjsSA6qCKesNBBQXq,unknown,Other
Father Christmas,Lauran Hibberd,english indie rock; isle of wight indie,9,0.561,0.916,139.956,0.549,0.0,0.00382,2fARp1aruu7SCi4e3XdnwP,33ReZaGVb63WaJE68WgWuU,english indie rock,Other
Another Christmas,MxPx,christian punk; pop punk; punk; ska; ska punk; skate punk,9,0.455,0.798,163.074,0.486,0.0,0.00035,7wTUURwHvDfAfUPHPaxhei,1cSpfa4Un4NCOzeOKgGtG9,christian punk,Other
All I Want for Christmas Is You,The Dollyrots,candy pop; power-pop punk,9,0.357,0.946,191.815,0.68,0.0,0.000464,3hAGy99BXO253ldsPpyy08,1TrzTUgWQlVRkoVGR0L7jy,candy pop,Pop
This Is a Christmas Match,Wimbledon Alley,easycore,9,0.359,0.956,173.908,0.251,0.0,0.00227,2m4EHtbC543ItZjqiM7Tgg,493q9CX6Jfqz84BMKeE1pT,easycore,Other
Christmas is Canceled,Bankrupt,hungarian punk; hungarian rock,8,0.515,0.938,109.013,0.784,0.0,0.000163,5HitvKDNwqa9yuUfB3qTca,2bIRzxO8MZcdBb3jiVFL3g,hungarian punk,Other
(All I Want For Christmas Is To) Rage With My Friends,Piebald,boston rock; emo; emo punk,8,0.613,0.601,124.894,0.263,2.6e-05,0.363,5O0Q6cWPjvqVJcLSxHDImq,4rOGGTXaYygtFIHsPgLKJv,boston rock,Other
Rudy Christmas A Jail,The Toasters,ska; ska punk; ska revival,8,0.641,0.695,157.697,0.886,1.7e-06,0.13,1iICcD096UT9ckrlTent5j,5TefXCuvQWtRxpWfDdKmNj,ska,Reggae
"Christmas, Baby Please Come Home",Anberlin,pop emo,8,0.437,0.92,74.957,0.418,0.0,7.78e-05,0fwADJw0ieQ6F2yKhKbogt,5v61OSg53KaQxGMpErkBNp,pop emo,Other
Violent Night (A Christmas Tale),Chubby and the Gang,crank wave,7,0.388,0.922,74.322,0.372,0.0132,0.000116,1gaeICtm5jZet0IF8khcdP,54owRfib7AwmLx1OEM1Apd,crank wave,Other
Forgot It Was Christmas,The Downtown Fiction,neon pop punk; pixie; pop emo,7,0.65,0.885,130.103,0.902,0.0,0.00856,3q6x9cz4G5nYbAQcLa43S5,7MRDkEKtdsGcYn11A4qgUL,neon pop punk,Other
Fairytale of New York,The Clan,celtic punk; celtic rock,7,0.344,0.941,160.006,0.119,8.91e-06,0.00714,2V87ilIfikyiHJ4bU46YNg,7oludeeTSpiIclzw9iPjHX,celtic punk,Other
Sleigh Ride,The Toasters,ska; ska punk; ska revival,7,0.716,0.491,146.419,0.752,6.02e-05,0.155,3i7yZ91aKCk5BsYwhKAZdl,5TefXCuvQWtRxpWfDdKmNj,ska,Reggae
What Do the Lonely Do at Christmas?,Skatune Network,unknown,7,0.408,0.912,79.763,0.477,0.00282,0.000428,3DRLW9bDml1uWxxD51xWHy,7Gas5IrI1Y8PSrJPyRkwtC,unknown,Other
We Wish You a Merry Christmas / Jingle Bells - Short Edit,Normahl,german oi; german punk,6,0.293,0.987,195.974,0.217,0.382,0.0318,1UsnscOXO3MEGrl3TBP6AS,4A3ZGNdTWn4w4Aw6VFqoJm,german oi,Other
Christmas Lullaby,CJ Ramone,ramonescore,6,0.596,0.803,126.007,0.657,0.226,0.00399,6csB7qcfwypYTXeItvHcEq,3jVd6Z5yEh5SSdvzkzUbUp,ramonescore,Other
This Could Be Christmas,The So So Glos,unknown,5,0.428,0.644,134.81,0.363,0.0,0.165,2lmsxNpEVPs17M7LS7cnl7,3WrUzXz7uxtNFZuapRMhiP,unknown,Other
Wonderful Christmas Time,Lion In The Mane,unknown,5,0.592,0.629,95.061,0.615,0.0,0.22,4EKkT3rUAlTf0JVvXLTgKN,6E5wKYYhEgS3r3TRKZl9N1,unknown,Other
Single All the Way,Goodnight Sunrise,toronto indie,5,0.293,0.988,189.531,0.45,0.0,0.00918,2xt5i2X4YhPqTb5sQc9heQ,4CzSDigTxbLBQU4DdvhkxY,toronto indie,Other
Rum Nogs,Burning Nickels,unknown,5,0.553,0.925,109.981,0.358,1.88e-05,0.000518,0DGfcRKLwqAJQX4k426sJ6,4IEPtQMika3qFNFPAFHrSZ,unknown,Other
It's Christmas Time,Future Idiots,punk cover,4,0.378,0.872,139.84,0.484,2.12e-05,0.00376,5MeLTAb32ZbEyvPZ7bcnI5,7oaD5pgWwQwvx4S8wmSkHD,punk cover,Other
Come on Christmas,Auralnauts,unknown,4,0.715,0.723,159.886,0.788,0.0258,0.00534,16oE2wDyCs8v0D62wWQ9o6,6ua5bXYLeRXtovhoxtYzdX,unknown,Other
Christmas Cards,Spoke Too Soon,uk pop punk,3,0.452,0.918,89.976,0.65,0.0022,7.8e-05,57G4NV9ikiRyr78EanfSNv,3oARFNb8lJnqLCubtq2yMx,uk pop punk,Other
Get This Christmas Right,Jaret and Kelly,unknown,3,0.632,0.809,146.991,0.741,0.0,0.0891,52PxV5MwXOVcNocge2Ay1W,2mmcv7y7k8bhULYGQUiZHT,unknown,Other
Grandma Got Run Over By A Reindeer,Reel Big Fish,modern ska punk; punk; ska; ska punk; skate punk; socal pop punk,2,0.58,0.866,152.83,0.963,0.0,0.0672,2Vo0CHZltnh18JAPNOSfS3,3bXhZFreBJF4QDUUiMmtZW,modern ska punk,Other
Do You Hear What I Hear?,The Myrrhderers,unknown,2,0.561,0.894,104.073,0.665,8.06e-06,0.000423,7HB7slDgmDZcpYHXOl0n2V,03qAaFUzsAor9CiD56NFBr,unknown,Other
Christmas At My House,The Dirty Nil,canadian punk; hamilton on indie; indie punk,0,0.376,0.986,118.016,0.348,5.23e-05,1.22e-05,3tNGeh2arYnVYQTsyQs51E,2mGENPk4M4jtaf5D7fDi98,canadian punk,Other
December (again) [feat. Mark Hoppus],Neck Deep,pop punk; uk pop punk,0,0.403,0.953,160.036,0.364,0.0,9.64e-05,1vpKLPLaYymnwkIHALc5J1,2TM0qnbJH4QPhGMCdPt7fH,pop punk,Other
Boxing Day,blink-182,alternative metal; modern rock; pop punk; punk; rock; socal pop punk,0,0.643,0.779,94.981,0.395,1.07e-05,0.0183,0HQLq1DUWyhMN2gWXBQ89Y,6FBDaR13swtiWwGhX1WQsP,alternative metal,Rock
Right Where You Want Me to Be,A Day To Remember,alternative metal; metalcore; neon pop punk; pop punk; screamo,0,0.343,0.947,84.953,0.462,0.0,4.15e-05,1pcL2LXuaO01180QkIxkSG,4NiJW4q9ichVqL1aUsgGAN,alternative metal,Rock
Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,classic rock; mellow gold; rock; soft rock,0,0.774,0.511,94.736,0.771,0.0,0.322,4gavOCQdZ2g86gkvi17FM7,4STHEaNw4mPZ2tzheohgXB,classic rock,Rock
Forget December,Something Corporate,neon pop punk; piano rock; pop punk,0,0.623,0.683,127.093,0.493,0.0,0.0124,3uxpzGzJmLSprnHJw6PYnO,71h7GTahhKcSkQ1ayhTvOD,neon pop punk,Other
White Christmas,Moonlight Social,unknown,0,0.328,0.863,181.597,0.63,0.00149,0.000108,3UQOYpKeLqhvy2inGi9YIZ,48PBERzNchz4E1ZYAiQWUa,unknown,Other
Skank For Christmas,Reel Big Fish,modern ska punk; punk; ska; ska punk; skate punk; socal pop punk,1,0.663,0.886,106.06,0.816,1.06e-06,0.0442,3VblSLAooy2B3mFwHbApLy,3bXhZFreBJF4QDUUiMmtZW,modern ska punk,Other
The Christmas Song,Weezer,alternative rock; modern power pop; modern rock; permanent wave; rock,0,0.299,0.632,147.508,0.297,8.19e-05,0.000174,03e41JmoFNLssjNbHhDma7,3jOstUTkEu2JkjvRdBA5Gu,alternative rock,Rock
Hope This Christmas,Shybits,german post-punk,0,0.476,0.742,137.085,0.632,1.08e-05,0.000753,7bLIbZBDv6U3hGtyiv0boo,3RpiuODlxLEzGTjoKa2qW7,german post-punk,Other
This Holiday,Dragged Under,unknown,0,0.428,0.972,170.061,0.38,0.0,0.000912,4PQkltcPjdiFh2Uvc3Zvhv,3D1uNqaasEWzallSxKo1cH,unknown,Other
Christmas (Baby Please Come Home),Joey Ramone,ramonescore,0,0.438,0.93,129.634,0.426,0.000185,0.00685,2owWbedyDiJaXvEbW4krLl,7dxF7y4hlGFazdArMsxbEx,ramonescore,Other
Auld Lang Syne,Reel Big Fish,modern ska punk; punk; ska; ska punk; skate punk; socal pop punk,1,0.665,0.756,175.191,0.901,0.258,0.0173,2o8rF3D43FbniUVatDtSlz,3bXhZFreBJF4QDUUiMmtZW,modern ska punk,Other
The War On Christmas Is Over (If You Buy It),Anti-Flag,punk; skate punk,0,0.5,0.999,99.974,0.178,0.0,0.00185,6F6VIAmrqiXgeAXycoHOs4,30sqtiTKIb1oDve0SdYayT,punk,Other
Yule Shoot Your Eye Out - Bonus Track,Fall Out Boy,emo; modern rock; pop; rock,0,0.668,0.522,107.977,0.717,0.0,0.696,0YIyNI01NwcDANAruPq7bg,4UXqAaa6dQYAk18Lv7PEgX,emo,Alternative/Indie
"You're a Mean One, Mr. Grinch",Misfits,horror punk; new jersey hardcore; new jersey punk; punk,0,0.441,0.935,107.809,0.467,0.0397,0.0469,0idMyK2CdvZSPmDDZjCseL,1cXi8ALPQCBHZbf0EgP4Ey,horror punk,Other
"Happy Holidays, You Bastard",blink-182,alternative metal; modern rock; pop punk; punk; rock; socal pop punk,0,0.409,0.99,172.588,0.963,0.0,0.0167,6Zj6aoi8gOioPuJmQoC7bN,6FBDaR13swtiWwGhX1WQsP,alternative metal,Rock
Valentine,Laufey,gen z singer-songwriter,76,0.472,0.204,82.51,0.224,0.0,0.917,6cx5CvFhqN19efStehJqoW,7gW0r5CkdEUMm42w9XpyZO,gen z singer-songwriter,Other
No One's Watching Me (feat. Olivia Dean),Ezra Collective,british jazz; indie soul,62,0.807,0.536,103.083,0.265,0.872,0.0602,0g8prUwwlED3F3y0ZNe8p0,5BRAUN0yN8557PLRZIr02W,british jazz,Other
Don't Go To Strangers,Etta Jones,adult standards; vocal jazz,52,0.497,0.086,129.332,0.171,0.00106,0.974,6cRsRBzSaGwfnMMqNSjtFY,3CEdEF8RsuL3hAFJaujvr0,adult standards,Pop
Don't Take Your Love From Me,Catherine Russell,contemporary vocal jazz,49,0.376,0.141,183.841,0.191,0.000171,0.895,3PTD2eturmZsdedW6reT1p,7j46Sze6UWb7p41IqcYFAp,contemporary vocal jazz,Other
Didn't Know About You,Johnny Hodges & His Orchestra,big band; man's orchestra,49,0.352,0.0655,184.098,0.318,0.655,0.966,1UjcfBPJt8mMvJ5QyfaWuq,586u2f7H540oCefUIazflT,big band,Other
This Is Always,Betty Carter,vocal jazz,49,0.417,0.0644,113.713,0.138,0.000134,0.971,6Kr25pa3pTd4no3yA0EcW1,6HB1MchEEMg40EisSJuenZ,vocal jazz,Other
Imagine,Junity,unknown,49,0.493,0.126,139.444,0.311,6.44e-05,0.964,2tsqu3KVPqofbieVP3zYU3,5NZAIgwhoQm0DmqTzVfnKm,unknown,Other
Autumn In New York,Diana Krall,contemporary vocal jazz; jazz pop; vocal jazz,48,0.503,0.109,118.024,0.201,0.0014,0.94,4TUYXBMD004ZwWTeYcynFH,5z1VAFwT35EVvCp1XlZZuL,contemporary vocal jazz,Other
'S Wonderful,Tony Bennett,adult standards; easy listening; lounge; vocal jazz,48,0.546,0.244,77.248,0.412,9.21e-05,0.885,4tqGZzY8YmngfaTqUAHENj,2lolQgalUvZDfp5vvVtTYV,adult standards,Pop
