title,artist,genres,popularity,danceability,energy,tempo,valence,instrumentalness,acousticness,track_id,artist_id,Primary genre,final genre
CELEBRAR,IVAN$ITO,unknown,0,0.781,0.797,147.963,0.947,0.000108,0.442,3sDDYrJg2T2nmSkqunXXi5,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Fatigue,Augustine,swedish indie pop,30,0.2,0.115,79.439,0.17,0.899,0.992,4scUgWRfSfKejgVgRfz8X7,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Relay,Sam Ezeh,unknown,30,0.702,0.723,88.99,0.746,0.0029,0.095,7cHLutQTiJ5cMfVI5Bg7nQ,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Guts,Augustine,swedish indie pop,33,0.693,0.649,105.984,0.835,0.0195,0.157,5cVBkcYGi6aiG4cnTMfN6x,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Lonely Ones,LOVA,swedish pop,50,0.643,0.407,143.786,0.47,0.0,0.613,6Mb0OgMvbb7FYQejZ6rusz,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Not My Child,Sam Ezeh,unknown,13,0.694,0.816,98.017,0.658,0.0391,0.32,3SDpBsvxo7R9wcDHULaIJV,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Awful Lot of Time,Augustine,swedish indie pop,26,0.437,0.261,141.749,0.209,0.00348,0.887,2rHwZH39RB1aCRQSQETOzf,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Like Other People,Mina Okabe,unknown,22,0.497,0.3,175.783,0.251,0.0,0.856,3ODy4Ut24h55doPIJylVkw,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Luzon,Augustine,swedish indie pop,16,0.78,0.729,112.838,0.69,0.000236,0.307,46vZ6wZNAS60eaQRHhIKNK,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Sin Preocupación,IVAN$ITO,unknown,12,0.631,0.548,80.041,0.195,0.0,0.522,1ERZ1Y2Fgc54Rs09ZvgrNv,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Older Overnight - Bonus Track,LOVA,swedish pop,24,0.773,0.608,94.02,0.557,0.0,0.488,4PkEC6lj6GXgxDyjmG4obk,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Easy,Augustine,swedish indie pop,25,0.624,0.368,120.003,0.261,0.00073,0.446,5ltE632wgkwfKTNeDjKeIA,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Sapphire Alley,Sam Ezeh,unknown,15,0.675,0.622,108.002,0.662,0.45,0.247,5DamCARBr1qv1aiPS2Hip9,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Give A Little Less,Mina Okabe,unknown,28,0.723,0.342,118.974,0.32,0.0,0.86,2UbWpVRTjpWBInJVD86Dgg,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Didn’t Know Shit - Spotify Studio It's Hits Recording,LOVA,swedish pop,28,0.403,0.342,73.534,0.154,0.0,0.497,60jrv0KF1Uy5upBN8VTUZN,1l2NYhptmHjo64MDOcej1x,swedish pop,Other
Let Me Down,Mina Okabe,unknown,27,0.543,0.184,75.188,0.348,3.98e-06,0.952,3I5ZwfMP7m6KOuA2JTchYs,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Tu Me Rompiste El Corazón,IVAN$ITO,unknown,11,0.722,0.567,87.972,0.598,0.0,0.566,3lVy9WnOeNofJwqIEv7Mx3,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Makes My Night,Sam Ezeh,unknown,13,0.61,0.395,74.985,0.341,0.126,0.577,1rcbA9319YlOcjkzaRJbgb,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Every Second,Mina Okabe,unknown,54,0.806,0.567,130.005,0.643,3.35e-06,0.629,6dquCx5KAW5jCgGgoTlghL,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Picking Up Speed,Augustine,swedish indie pop,19,0.638,0.74,107.051,0.211,0.00785,0.0327,5VcjWCrAVvsOUQrKDaDI6G,1esNGCDFDiy6sKEqPhlLb4,swedish indie pop,Other
Vente A Mi (feat. JEURU),IVAN$ITO,unknown,0,0.528,0.591,119.962,0.352,0.00386,0.246,3Kr8u87RBnAhrZjs7uAA8t,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Bonsai Love,Sam Ezeh,unknown,13,0.672,0.543,79.991,0.612,0.051,0.599,0g34K1VMsymkjGyPpeuL0x,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Suspension,Sam Ezeh,unknown,12,0.723,0.663,134.021,0.798,0.000424,0.731,3yPLXJ8tLM2K8FCgCakpTq,5Ys0Puc1F5jOw7EpmhMSTK,unknown,Other
Play Pretend,Mina Okabe,unknown,28,0.748,0.518,137.948,0.4,0.0,0.771,1qK2fh2lg1VQxnrt4d0bKo,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Tu Me Bésas,IVAN$ITO,unknown,8,0.499,0.634,96.436,0.589,8.64e-05,0.176,3pyrUJeJHI7GGAUB7zvTJ1,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Miss Those Days,Mina Okabe,unknown,43,0.843,0.593,123.983,0.772,7.31e-05,0.493,14CMnDIXlTyuNwpw6fTdMi,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Empézar,IVAN$ITO,unknown,8,0.8,0.695,82.484,0.822,0.0043,0.357,0Cf4XveS5zpGsR1lxeKWU7,0cPmSFfjpop7imPVWSk2yc,unknown,Other
Critical,Mina Okabe,unknown,32,0.665,0.483,165.977,0.803,9.57e-05,0.578,5RLtXgDduEE3qU2184BYpC,5BS8KSKJPeLeXfABQx0bXl,unknown,Other
Leal,IVAN$ITO,unknown,8,0.679,0.571,98.038,0.65,0.000194,0.862,1fwMRvx9Ek2EjRvhFcwUtT,0cPmSFfjpop7imPVWSk2yc,unknown,Other
In the End,Linkin Park,alternative metal; nu metal; post-grunge; rap metal; rock,87,0.556,0.864,105.143,0.4,0.0,0.00958,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz,alternative metal,Rock
Without Me,Eminem,detroit hip hop; hip hop; rap,86,0.908,0.669,112.238,0.662,0.0,0.00286,7lQ8MOhq6IN2w8EYcFNSUk,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,Hip Hop/Rap
Viva La Vida,Coldplay,permanent wave; pop,85,0.486,0.617,138.015,0.417,3.23e-06,0.0954,1mea3bSkSGXuIRvnydlB5b,4gzpq5DPGxSnKTe4SA8HAU,permanent wave,Rock
Take on Me,a-ha,new romantic; new wave; new wave pop; permanent wave; synthpop,84,0.573,0.902,84.412,0.876,0.00125,0.018,2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE,new romantic,Other
Highway to Hell,AC/DC,australian rock; hard rock; rock,84,0.574,0.913,115.728,0.423,0.00158,0.061,2zYzyRzz6pRmhPzyfMEC8s,711MCceyCBcFnzjGY4Q7Un,australian rock,Rock
Bring Me To Life,Evanescence,alternative metal,83,0.331,0.943,94.612,0.296,2.06e-06,0.00721,0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c,alternative metal,Rock
Toxic,Britney Spears,dance pop; pop,83,0.774,0.838,143.04,0.924,0.025,0.0249,6I9VzXrHxO9rA9A5euc8Ak,26dSoYclwsYLMAKD3tpOr4,dance pop,Pop
How You Remind Me,Nickelback,alternative metal; canadian rock; post-grunge,83,0.446,0.764,172.094,0.543,0.0,0.00135,0gmbgwZ8iqyMPmXefof8Yf,6deZN1bslXzeGvOLaLMOIF,alternative metal,Rock
Wake Me Up,Avicii,dance pop; edm; pop; pop dance,83,0.532,0.783,124.08,0.643,0.0012,0.0038,0nrRP2bk19rLc0orkWPQk2,1vCWHaC5f2uS3yhpwWbIA6,dance pop,Pop
TiK ToK,Kesha,dance pop; pop,83,0.755,0.837,120.028,0.714,0.0,0.0991,0HPD5WQqrq7wPWR7P7Dw1i,6LqNN22kT3074XbTVUrhzX,dance pop,Pop
Fortunate Son,Creedence Clearwater Revival,album rock; classic rock; country rock; mellow gold; rock; southern rock; swamp rock,83,0.64,0.663,132.77,0.663,0.00806,0.201,4BP3uh0hFLFRb5cjsgLqDh,3IYUhFvPQItj6xySrBmZkd,album rock,Rock
The Real Slim Shady,Eminem,detroit hip hop; hip hop; rap,84,0.949,0.661,104.504,0.76,0.0,0.0302,3yfqSUWxFvZELEM4PmlwIR,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,Hip Hop/Rap
One Step Closer,Linkin Park,alternative metal; nu metal; post-grunge; rap metal; rock,82,0.492,0.969,95.136,0.538,1.32e-06,0.0014,3K4HG9evC7dg3N0R9cYqk4,6XyY86QOPPrYVGvF9ch6wz,alternative metal,Rock
